file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,delegateDescription/1[java.lang.String],false,108,2,2,0,2,1,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,"Builder/2[java.lang.String,io.micrometer.core.instrument.Counter.Builder]",true,86,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,"delegateTag/2[java.lang.String,java.lang.String]",false,102,2,2,0,2,1,3,4,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,delegateBaseUnit/1[java.lang.String],false,114,2,2,0,2,1,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,delegateTags/1[java.lang.Iterable<io.micrometer.core.instrument.Tag>],false,96,3,2,0,2,1,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,"build/2[Meter.Id,io.micrometer.core.instrument.Counter]",false,91,3,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/providers/micrometer/src/main/java/io/helidon/metrics/providers/micrometer/MCounter.java,io.helidon.metrics.providers.micrometer.MCounter$Builder,meterType/0,false,120,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http2/src/main/java/io/helidon/http/http2/Http2Flag.java,io.helidon.http.http2.Http2Flag$DataFlags,DataFlags/1[int],true,194,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http2/src/main/java/io/helidon/http/http2/Http2Flag.java,io.helidon.http.http2.Http2Flag$DataFlags,toString/0,false,209,2,2,0,2,3,4,10,1,1,0,4,0,0,0,0,0,0,3,0,1,0,1,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http2/src/main/java/io/helidon/http/http2/Http2Flag.java,io.helidon.http.http2.Http2Flag$DataFlags,create/1[int],false,204,1,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http/src/main/java/io/helidon/http/CookieParser.java,io.helidon.http.CookieParser,"parse/2[java.util.Map<java.lang.String,java.util.List<java.lang.String>>,java.lang.String]",false,63,1,3,1,2,13,13,29,1,6,2,13,0,0,2,1,0,1,0,9,7,2,4,0,0,1,16,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http/src/main/java/io/helidon/http/CookieParser.java,io.helidon.http.CookieParser,CookieParser/0,true,34,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http/src/main/java/io/helidon/http/CookieParser.java,io.helidon.http.CookieParser,parse/1[io.helidon.http.Header],false,46,3,7,5,2,3,4,10,2,1,1,4,1,1,1,0,0,0,3,0,1,0,1,0,0,0,60,8,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/http/src/main/java/io/helidon/http/CookieParser.java,io.helidon.http.CookieParser,empty/0,false,59,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/media/jsonb/src/main/java/io/helidon/http/media/jsonb/JsonbMediaSupportProvider.java,io.helidon.http.media.jsonb.JsonbMediaSupportProvider,"create/2[io.helidon.http.media.jsonb.Config,java.lang.String]",false,43,3,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/media/jsonb/src/main/java/io/helidon/http/media/jsonb/JsonbMediaSupportProvider.java,io.helidon.http.media.jsonb.JsonbMediaSupportProvider,configKey/0,false,38,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/media/jsonb/src/main/java/io/helidon/http/media/jsonb/JsonbMediaSupportProvider.java,io.helidon.http.media.jsonb.JsonbMediaSupportProvider,JsonbMediaSupportProvider/0,true,33,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/http/media/jsonb/src/main/java/io/helidon/http/media/jsonb/JsonbMediaSupportProvider.java,io.helidon.http.media.jsonb.JsonbMediaSupportProvider,weight/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/test/java/io/helidon/config/ConfigSupplierTest.java,io.helidon.config.ConfigSupplierTest,testSupplierSubscribeOnParentNode/0,false,117,11,21,0,21,1,30,16,0,4,0,30,0,0,0,0,0,0,12,0,4,0,0,0,0,4,29,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/test/java/io/helidon/config/ConfigSupplierTest.java,io.helidon.config.ConfigSupplierTest,testSupplierSubscribeOnRootNode/0,false,162,10,17,0,17,1,24,10,0,3,0,24,0,0,0,0,0,0,7,0,3,0,0,0,0,3,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/test/java/io/helidon/config/ConfigSupplierTest.java,io.helidon.config.ConfigSupplierTest,testSupplierSubscribeOnLeafNode/0,false,74,10,18,0,18,1,22,13,0,3,0,22,0,0,0,0,0,0,9,0,3,0,0,0,0,4,26,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/test/java/io/helidon/config/ConfigSupplierTest.java,io.helidon.config.ConfigSupplierTest,testSupplierFromMissingToListNode/0,false,198,14,19,0,19,1,28,11,0,3,0,28,0,0,0,0,0,0,7,0,3,0,0,0,0,3,30,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/test/java/io/helidon/config/ConfigSupplierTest.java,io.helidon.config.ConfigSupplierTest,testSupplierFromMissingToObjectNode/0,false,42,11,19,0,19,1,25,10,0,3,0,25,0,0,0,0,0,0,6,0,3,0,0,0,0,3,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/main/java/io/helidon/config/spi/ConfigContent.java,io.helidon.config.spi.ConfigContent$NodeContent,data/0,false,111,1,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/config/config/src/main/java/io/helidon/config/spi/ConfigContent.java,io.helidon.config.spi.ConfigContent$NodeContent,builder/0,false,107,1,11,10,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/service/tests/inject/src/main/java/io/helidon/service/tests/inject/QualifiedService.java,io.helidon.service.tests.inject.QualifiedService,qualifier/0,false,25,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/tck/tck-reactive-streams/src/test/java/io/helidon/common/reactive/MultiDefaultIfEmptySupplierNormalTckTest.java,io.helidon.common.reactive.MultiDefaultIfEmptySupplierNormalTckTest,createFailedFlowPublisher/0,false,38,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/tck/tck-reactive-streams/src/test/java/io/helidon/common/reactive/MultiDefaultIfEmptySupplierNormalTckTest.java,io.helidon.common.reactive.MultiDefaultIfEmptySupplierNormalTckTest,MultiDefaultIfEmptySupplierNormalTckTest/0,true,28,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/tck/tck-reactive-streams/src/test/java/io/helidon/common/reactive/MultiDefaultIfEmptySupplierNormalTckTest.java,io.helidon.common.reactive.MultiDefaultIfEmptySupplierNormalTckTest,createFlowPublisher/1[long],false,33,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/tck/tck-reactive-streams/src/test/java/io/helidon/common/reactive/MultiDefaultIfEmptySupplierNormalTckTest.java,io.helidon.common.reactive.MultiDefaultIfEmptySupplierNormalTckTest,maxElementsFromPublisher/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/fault-tolerance/fault-tolerance/src/main/java/io/helidon/faulttolerance/FaultToleranceException.java,io.helidon.faulttolerance.FaultToleranceException,FaultToleranceException/1[java.lang.String],true,30,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/fault-tolerance/fault-tolerance/src/main/java/io/helidon/faulttolerance/FaultToleranceException.java,io.helidon.faulttolerance.FaultToleranceException,"FaultToleranceException/2[java.lang.String,java.lang.Throwable]",true,40,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/common/reactive/src/main/java/io/helidon/common/reactive/MultiFlatMapPublisher.java,io.helidon.common.reactive.MultiFlatMapPublisher,"MultiFlatMapPublisher/5[io.helidon.common.reactive.Multi<T>,java.util.function.Function<? super T,? extends java.util.concurrent.Flow.Publisher<? extends R>>,long,long,boolean]",true,49,2,0,0,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/common/reactive/src/main/java/io/helidon/common/reactive/MultiFlatMapPublisher.java,io.helidon.common.reactive.MultiFlatMapPublisher,subscribe/1[java.util.concurrent.Flow.Subscriber<? super R>],false,58,3,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/api/src/main/java/io/helidon/metrics/api/LabeledSnapshot.java,io.helidon.metrics.api.LabeledSnapshot,max/0,false,34,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/api/src/main/java/io/helidon/metrics/api/LabeledSnapshot.java,io.helidon.metrics.api.LabeledSnapshot,size/0,false,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/api/src/main/java/io/helidon/metrics/api/LabeledSnapshot.java,io.helidon.metrics.api.LabeledSnapshot,value/1[double],false,26,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/metrics/api/src/main/java/io/helidon/metrics/api/LabeledSnapshot.java,io.helidon.metrics.api.LabeledSnapshot,mean/0,false,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/service/tests/inject/src/main/java/io/helidon/service/tests/inject/FactoryIsAServiceTypes.java,io.helidon.service.tests.inject.FactoryIsAServiceTypes$InjectionReceiver,factoryContract/0,false,60,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/service/tests/inject/src/main/java/io/helidon/service/tests/inject/FactoryIsAServiceTypes.java,io.helidon.service.tests.inject.FactoryIsAServiceTypes$InjectionReceiver,"InjectionReceiver/2[io.helidon.service.tests.inject.FactoryIsAServiceTypes.FactoryContract,io.helidon.service.tests.inject.FactoryIsAServiceTypes.TargetType]",true,55,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/service/tests/inject/src/main/java/io/helidon/service/tests/inject/FactoryIsAServiceTypes.java,io.helidon.service.tests.inject.FactoryIsAServiceTypes$InjectionReceiver,targetType/0,false,64,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedDmlWithUpdateStrOrderArgs/0,false,129,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testUpdateOrderArgs/0,false,375,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testInsertNamedArgsReturnedColumns/0,false,291,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedDmlWithUpdateStrStrNamedArgs/0,false,117,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDmlWithUpdateNamedArgs/0,false,135,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedQueryStrOrderArgs/0,false,309,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedInsertStrNamedArgs/0,false,249,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedUpdateStrStrNamedArgs/0,false,339,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedGetStrOrderArgs/0,false,213,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDmlWithInsertNamedArgs/0,false,93,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedUpdateStrNamedArgs/0,false,345,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateInsertNamedArgs/0,false,261,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDeleteOrderArgs/0,false,57,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedGetStrStrNamedArgs/0,false,201,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateGetOrderArgs/0,false,225,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testNamedUpdateNamedArgs/0,false,369,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDmlWithDeleteOrderArgs/0,false,183,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedQueryStrStrOrderArgs/0,false,297,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDmlWithInsertOrderArgs/0,false,99,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testNamedDmlWithUpdateOrderArgs/0,false,147,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedDeleteStrNamedArgs/0,false,39,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateNamedDeleteStrStrOrderArgs/0,false,33,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testNamedDmlWithInsertOrderArgs/0,false,105,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testNamedDeleteOrderArgs/0,false,63,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDmlWithUpdateOrderArgs/0,false,141,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/helidon-io__helidon/tests/integration/dbclient/oracle/src/test/java/io/helidon/tests/integration/dbclient/oracle/OracleSimpleRemoteTestIT.java,io.helidon.tests.integration.dbclient.oracle.OracleSimpleRemoteTestIT,testCreateDeleteNamedArgs/0,false,51,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
